solution,cluster,cluster_rep,testcases_time,klee_time,cbmc_time
44.c,cluster5,14.c,0.08996699999999999,1.378149,0.0
45.c,cluster14,30.c,0.117191,0.0,0.0
45.c,cluster1,23.c,0.103446,0.0,0.0
45.c,cluster20,41.c,0.120676,0.0,0.0
45.c,cluster9,22.c,0.110247,0.0,0.0
45.c,cluster7,43.c,0.10346099999999996,0.0,0.0
45.c,cluster17,36.c,0.113632,0.0,0.0
45.c,cluster12,27.c,0.11498499999999999,0.0,0.0
45.c,cluster15,31.c,0.105458,0.0,0.0
45.c,cluster4,13.c,0.121379,0.0,0.0
45.c,cluster16,32.c,0.159999,0.0,0.0
45.c,cluster3,37.c,0.09032000000000001,0.0,0.0
45.c,cluster10,24.c,0.086332,0.0,0.0
45.c,cluster13,28.c,0.089003,0.0,0.0
45.c,cluster19,40.c,0.094938,0.0,0.0
45.c,cluster8,21.c,0.09328600000000001,0.0,0.0
45.c,cluster6,18.c,0.104525,0.0,0.0
45.c,cluster2,10.c,0.092825,0.0,0.0
45.c,cluster18,39.c,0.09497,0.0,0.0
45.c,cluster11,25.c,0.107234,0.0,0.0
45.c,cluster21,44.c,0.088779,0.0,0.0
45.c,cluster5,16.c,0.09012200000000001,0.0,0.0
46.c,cluster14,30.c,0.103014,0.0,0.0
46.c,cluster22,45.c,0.09669900000000001,0.0,0.0
46.c,cluster1,1.c,0.112855,0.0,0.0
46.c,cluster20,41.c,0.133129,0.0,0.0
46.c,cluster9,22.c,0.136022,0.0,0.0
46.c,cluster7,19.c,0.12199000000000006,0.0,0.0
46.c,cluster17,36.c,0.126839,0.0,0.0
46.c,cluster12,27.c,0.13980499999999998,0.0,0.0
46.c,cluster15,31.c,0.141443,0.0,0.0
46.c,cluster4,13.c,0.10313800000000001,0.0,0.0
46.c,cluster16,32.c,0.106717,0.0,0.0
46.c,cluster3,4.c,0.10528,0.0,0.0
46.c,cluster10,24.c,0.103605,0.0,0.0
46.c,cluster13,28.c,0.11155699999999999,0.0,0.0
46.c,cluster19,40.c,0.124008,0.0,0.0
46.c,cluster8,21.c,0.174592,0.0,0.0
46.c,cluster6,18.c,0.17493599999999998,0.0,0.0
46.c,cluster2,10.c,0.11078900000000001,0.0,0.0
46.c,cluster18,39.c,0.105121,0.0,0.0
46.c,cluster11,25.c,0.160483,0.0,0.0
46.c,cluster21,44.c,0.103144,0.0,0.0
46.c,cluster5,14.c,0.101404,0.0,0.0
47.c,cluster14,30.c,0.091031,0.0,0.0
47.c,cluster22,45.c,0.09489500000000001,0.0,0.0
47.c,cluster1,23.c,0.10006,0.0,0.0
47.c,cluster20,41.c,0.094251,0.0,0.0
47.c,cluster9,22.c,0.096633,0.0,0.0
47.c,cluster7,20.c,0.092855,0.0,0.0
47.c,cluster17,36.c,0.092139,0.0,0.0
47.c,cluster12,27.c,0.090151,0.0,0.0
47.c,cluster15,31.c,0.088671,0.0,0.0
47.c,cluster23,46.c,0.100573,0.0,0.0
47.c,cluster4,13.c,0.089257,0.0,0.0
47.c,cluster16,32.c,0.08984099999999999,0.0,0.0
47.c,cluster3,26.c,0.087264,0.0,0.0
47.c,cluster10,24.c,0.090811,0.0,0.0
47.c,cluster13,28.c,0.087772,0.0,0.0
47.c,cluster19,40.c,0.101228,0.0,0.0
47.c,cluster8,21.c,0.09074,1.610439,4.38994
48.c,cluster14,30.c,0.100155,0.0,0.0
48.c,cluster22,45.c,0.08798500000000001,0.0,0.0
48.c,cluster1,2.c,0.088956,0.0,0.0
48.c,cluster20,41.c,0.089912,0.0,0.0
48.c,cluster9,22.c,0.108905,0.0,0.0
48.c,cluster7,19.c,0.094539,0.0,0.0
48.c,cluster17,36.c,0.093532,0.0,0.0
48.c,cluster12,27.c,0.096209,0.0,0.0
48.c,cluster15,31.c,0.092825,0.0,0.0
48.c,cluster23,46.c,0.106208,0.0,0.0
48.c,cluster4,13.c,0.09063600000000001,0.0,0.0
48.c,cluster16,32.c,0.090671,0.0,0.0
48.c,cluster3,37.c,0.089043,0.0,0.0
48.c,cluster10,24.c,0.087035,0.0,0.0
48.c,cluster13,28.c,0.085904,0.0,0.0
48.c,cluster19,40.c,0.08753,0.0,0.0
48.c,cluster8,21.c,0.090563,0.0,0.0
48.c,cluster6,18.c,0.098983,0.0,0.0
48.c,cluster2,12.c,0.086596,0.0,0.0
48.c,cluster18,39.c,0.087894,0.0,0.0
48.c,cluster11,25.c,0.099788,0.0,0.0
48.c,cluster21,44.c,0.08858300000000001,0.0,0.0
48.c,cluster5,16.c,0.087795,0.0,0.0
49.c,cluster24,48.c,0.089799,0.0,0.0
49.c,cluster14,30.c,0.092822,12.359129,0.0
49.c,cluster22,45.c,0.086923,0.0,0.0
49.c,cluster1,29.c,0.091766,2.1693830000000003,0.0
49.c,cluster20,41.c,0.089732,0.0,0.0
49.c,cluster9,22.c,0.087494,0.0,0.0
49.c,cluster7,20.c,0.087136,0.0,0.0
49.c,cluster17,36.c,0.09045700000000001,1.490184,0.0
49.c,cluster12,27.c,0.11253599999999997,10.597038,0.0
49.c,cluster15,31.c,0.093763,3.509874,0.0
49.c,cluster23,46.c,0.099994,0.0,0.0
49.c,cluster4,13.c,0.09227,2.319746,0.0
49.c,cluster16,32.c,0.120018,11.369467,0.0
49.c,cluster3,4.c,0.093048,10.961667,0.0
49.c,cluster10,24.c,0.08938600000000001,0.0,0.0
49.c,cluster13,28.c,0.091971,1.8744759999999998,4.645897
49.c,cluster19,40.c,0.088199,0.0,0.0
49.c,cluster8,47.c,0.09322799999999999,0.0,0.0
49.c,cluster6,18.c,0.103476,2.095496,0.0
49.c,cluster2,12.c,0.089714,1.8953240000000002,0.0
49.c,cluster18,39.c,0.09077,1.381201,0.0
49.c,cluster11,25.c,0.132231,10.987478999999999,0.0
49.c,cluster21,44.c,0.090439,1.416051,0.0
49.c,cluster5,16.c,0.10576500000000001,2.512021,0.0
5.c,cluster24,48.c,0.090659,0.0,0.0
5.c,cluster14,30.c,0.092085,12.83716,0.0
5.c,cluster22,45.c,0.086529,0.0,0.0
5.c,cluster1,1.c,0.089683,1.844038,10.021075999999999
5.c,cluster20,41.c,0.106115,0.0,0.0
5.c,cluster9,22.c,0.104473,0.0,0.0
5.c,cluster7,43.c,0.13913699999999998,0.0,0.0
5.c,cluster17,36.c,0.10970099999999999,1.61947,10.038926
5.c,cluster12,27.c,0.14051,10.676552,0.0
5.c,cluster15,31.c,0.144897,4.532737,5.622881
5.c,cluster23,46.c,0.186489,0.0,0.0
5.c,cluster4,13.c,0.099526,1.982157,10.018149000000001
5.c,cluster25,49.c,0.105991,1.414744,0.0
5.c,cluster16,32.c,0.119901,11.756319,0.0
5.c,cluster3,26.c,0.109496,10.366051,0.0
5.c,cluster10,24.c,0.10639900000000001,0.0,0.0
5.c,cluster13,28.c,0.10468800000000003,2.5384580000000003,0.0
5.c,cluster19,40.c,0.110876,0.0,0.0
5.c,cluster8,47.c,0.104027,0.0,0.0
5.c,cluster6,18.c,0.12829300000000002,2.460729,0.0
5.c,cluster2,10.c,0.106704,1.12305,10.028364
5.c,cluster18,39.c,0.11053900000000001,1.79108,0.0
5.c,cluster11,25.c,0.194492,11.098346,0.0
5.c,cluster21,44.c,0.09261,1.496056,0.0
5.c,cluster5,16.c,0.103978,2.033188,10.020349
50.c,cluster24,48.c,0.117147,0.0,0.0
50.c,cluster14,30.c,0.123386,0.370182,0.396281
6.c,cluster24,48.c,0.157525,0.0,0.0
6.c,cluster14,50.c,0.149422,0.0,0.0
6.c,cluster22,45.c,0.158415,0.0,0.0
6.c,cluster1,35.c,0.123909,0.0,0.0
6.c,cluster20,41.c,0.193823,0.0,0.0
6.c,cluster9,22.c,0.216346,0.0,0.0
6.c,cluster7,20.c,0.134569,0.0,0.0
6.c,cluster17,36.c,0.095327,0.0,0.0
6.c,cluster12,27.c,0.111561,0.0,0.0
